ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Approved Authority Name,Units Available,Price
11911,Dec '26,Dec '26,,Y,Paradise Group,,,5170000.0
11910,Dec '26,Dec '26,,Y,Paradise Group,,,4700000.0
11909,Dec '24,May '23,,Y,Runwal Developers,,,4300000.0
11908,Under Construction,Feb '24,8,N,Lodha,,15.0,6000000.0
11907,Under Construction,May '25,,Y,Venus Nirvana LLP,,,5050000.0
11906,Jun '24,Jun '24,,Y,Lodha,,,5149000.0
11905,Under Construction,May '25,,Y,Venus Nirvana LLP,,,3750000.0
11904,Dec '24,Dec '24,,Y,VADOR GROUP,,,19000000.0
11903,Under Construction,Dec '23,15,N,Runwal Developers,ABADev,4.0,5100000.0
11902,Under Construction,Dec '26,25,N,Paradise Group,ABADev,6.0,7400000.0
11901,Sep '23,Sep '23,,Y,VHS Developers,,,5555000.0
11900,Mar '25,,,Y,Lodha,,,3490000.0
11899,Mar '24,Dec '23,,Y,Ashapura Builders and Developers,,,3600000.0
11898,Under Construction,Mar '24,12,N,Lodha,KDMC,16.0,12500000.0
11897,Under Construction,Dec '25,35,N,Runwal Developers,KDMC,0.0,45000000.0
11896,Dec '26,Dec '26,,Y,Paradise Group,,,7700000.0
11895,Dec '26,Dec '26,,Y,Paradise Group,,,5170000.0
11894,Dec '26,Dec '26,,Y,Paradise Group,,,4700000.0
11893,Dec '24,May '23,,Y,Runwal Developers,,,4300000.0
11892,Under Construction,Feb '24,8,N,Lodha,,15.0,6000000.0
11891,Under Construction,,9,Y,Versatile Housing,,,
11890,,,4,N,Lodha,,,
11889,Immediately,,5,Y,Sanghvi Builders,,,
11888,,,,N,,,,
11887,Ready to Move,,6,N,Marathon Realty Pvt. Ltd.,,,3100000.0
11886,Ready to Move,,4,N,Yug Developer,,,2600000.0
11885,Ready to Move,,1,N,,,,2250250.0
11884,Ready to Move,,3,N,,,,2500000.0
11883,Ready to Move,,5,N,Lodha,,,5000000.0
11882,Ready to Move,,4,N,Vinayak Construction,,,2400000.0
11881,Ready to Move,,1,Y,,,,1000000.0
11880,Ready to Move,,Ground,N,Global builder and Developer,,,2000000.0
11879,Ready to Move,,2,N,,,,2000000.0
11878,Ready to Move,,Ground,N,,,,2900000.0
11877,Ready to Move,,2,N,,,,3000000.0
11876,Ready to Move,,2,N,,,,3800000.0
11875,Ready to Move,,2,N,,,0.0,3500000.0
11874,Ready to Move,,1,Y,,,,1500000.0
11873,Ready to Move,,Ground,N,Siddharth Group,,,3000000.0
11872,Ready to Move,,3,N,,,,1500000.0
11871,Ready to Move,,2,N,,,,2100000.0
11870,Ready to Move,,1,N,,,,3000000.0
11869,Ready to Move,,4,N,Fine Group Builders And  Developers,,,1950000.0
11868,Ready to Move,,3,N,,,,1600000.0
11867,Ready to Move,,3,N,Global builder and Developer,,,1800000.0
11866,Ready to Move,,Ground,N,,,,1050000.0
11865,Ready to Move,,5,N,Sawant Enterprises,,,1500000.0
11864,Ready to Move,,1,N,,,,1900000.0
11863,Ready to Move,,3,N,,,,3000000.0
11862,Ready to Move,,3,N,,,,7200000.0
11861,Ready to Move,,Ground,N,,,,2100000.0
11860,Ready to Move,,2,N,,,,3000000.0
11859,Ready to Move,,3,N,,,,1800000.0
11858,Ready to Move,,7,N,,,,2500000.0
11857,Ready to Move,,1,N,,,,2500000.0
11856,Immediately,,1,N,,,,3299000.0
11855,Ready to Move,,17,N,Lodha,,,8000000.0
11854,Ready to Move,,1,Y,,,,1960000.0
11853,Ready to Move,,1,N,,,,2600000.0
11852,Ready to Move,,Ground,N,,,,1200000.0
11851,Ready to Move,,2,N,Royal Builders and Developers,ABAMNC,,2700000.0
11850,Ready to Move,,3,N,Sawant Enterprises,,,2000000.0
11849,Ready to Move,,5,N,Sawant Enterprises,,,1800000.0
11848,Ready to Move,,2,N,,,,4200000.0
11847,Ready to Move,,3,N,,,,2300000.0
11846,Ready to Move,,Ground,N,,ABAMNC,,1350000.0
11845,Ready to Move,,4,N,Bajrang Infrastructure,KDMC,,2400000.0
11844,Ready to Move,,13,N,Lodha,,,4750000.0
11843,Ready to Move,,7,Y,,,,4600000.0
11842,Ready to Move,,1,N,,,,2600000.0
11841,Ready to Move,,Ground,N,,,,2800000.0
11840,Ready to Move,,3,N,,,,1600000.0
11839,Ready to Move,,2,N,,KDMC,1.0,2050000.0
11838,Under Construction,Jun '26,16,N,Runwal Developers,KDMC,16.0,3250000.0
11837,Ready to Move,,Ground,N,Sai Developers,,,2900000.0
11836,Ready to Move,,5,N,Om Realty,,,7200000.0
11835,Ready to Move,,2,N,,,,2700000.0
11834,Ready to Move,,1,N,Miyas Group,,,2800000.0
11833,Ready to Move,,9,N,Marathon Realty Pvt. Ltd.,,,5100000.0
11832,Ready to Move,,7,N,Vedant Realty,,,3200000.0
11831,Under Construction,,12,N,Siddharth Group,,,6350000.0
11830,Under Construction,Dec '25,,Y,Lodha,,,3750000.0
11829,Ready to Move,,2,N,Yogam Realty,,,5300000.0
11828,Ready to Move,,3,N,,,,4700000.0
11827,Ready to Move,,6,N,Marathon Realty Pvt. Ltd.,,,3300000.0
11826,Ready to Move,,2,N,,,,3500000.0
11825,Ready to Move,,9,N,Lodha,,,6800000.0
11824,Ready to Move,,23,N,Runwal Developers,,,5800000.0
11823,Ready to Move,,6,N,Sanghvi Builders,,,3800000.0
11822,Ready to Move,,2,N,Ashapura Construction,,,5710000.0
11821,Ready to Move,,1,N,,,,3500000.0
11820,Ready to Move,,2,N,,,,3900000.0
11819,Ready to Move,,Ground,N,Lodha,,,3000000.0
11818,Ready to Move,,3,N,Lodha,,,3000000.0
11817,Ready to Move,,4,N,Lodha,,,6600000.0
11816,Ready to Move,,3,N,Suman Developers,,,3700000.0
11815,Ready to Move,,10,N,Lodha,,,9500000.0
11814,Ready to Move,,3,N,Lodha,,,2200000.0
11813,Ready to Move,,,N,Lodha,,,6500000.0
11812,Ready to Move,Mar '22,,Y,Runwal Developers,,,3440000.0
11811,Under Construction,,6,N,Lodha,,,3800000.0
11810,Ready to Move,,Ground,N,,,,3226000.0
11809,Under Construction,,10,N,Runwal Developers,,,4100000.0
11808,Ready to Move,,11,N,Marathon Realty Pvt. Ltd.,,,9500000.0
11807,Ready to Move,,5,N,Om Sai Constructions,,,3500000.0
11806,Ready to Move,,3,N,Lodha,,,3000000.0
11805,Ready to Move,,3,N,Lodha,,,3600000.0
11804,Ready to Move,,3,N,Sanghvi S3 Group,ABAMNC,1.0,4500000.0
11803,Ready to Move,,4,N,Lodha,,,4500000.0
11802,Ready to Move,,6,N,Expert Home Construction LLP,,,4500000.0
11801,Ready to Move,,3,N,,,,3500000.0
11800,Under Construction,,,Y,Runwal Developers,,,3750000.0
11799,Ready to Move,,16,N,Regency Group,,,11000000.0
11798,Ready to Move,,14,N,Lodha,,,4200000.0
11797,Ready to Move,,1,N,Lodha,,,4500000.0
11796,Ready to Move,,1,N,Lodha,,,4500000.0
11795,Ready to Move,,,N,KP Infra,,,15000000.0
11794,Ready to Move,,2,N,Yug Developer,,,1900000.0
11793,Ready to Move,,2,N,Lodha,,,4200000.0
11792,Ready to Move,,10,N,Vedant Realty,,,7000000.0
11791,Ready to Move,,1,N,Siddharth Group,,,3100000.0
11790,Ready to Move,,4,N,Sawant Enterprises,,,2500000.0
11789,Ready to Move,,11,N,Neelsidhi Group,,,11500000.0
11788,Ready to Move,,4,N,Gupta Builders And Developers,,,3300000.0
11787,Ready to Move,,4,N,Lodha,,,5000000.0
11786,Ready to Move,,6,N,Ganga Estate Developers,,,4200000.0
11785,Ready to Move,,6,N,Siddharth Group,,,6600000.0
11784,Ready to Move,,3,N,,,,3000000.0
11783,Ready to Move,,2,N,,,1.0,2300000.0
11782,Ready to Move,,1,N,Sai Developers,,,3600000.0
11781,Under Construction,Mar '24,7,N,Lodha,,,8500000.0
11780,Ready to Move,,10,N,Runwal Developers,,,4000000.0
11779,Ready to Move,,1,N,Shree Chamunda Enterprises,,,7500000.0
11778,Ready to Move,,1,N,,,,4500000.0
11777,Ready to Move,,1,N,Lodha,,,4500000.0
11776,Ready to Move,Nov '14,4,N,Lodha,,1.0,4000000.0
11775,Ready to Move,,4,N,,,,5500000.0
11774,Ready to Move,Jun '20,,Y,Amber Developers,,,3400000.0
11773,Ready to Move,,8,N,Lodha,,,3600000.0
11772,Ready to Move,,5,N,Aristo Realty Developers Ltd.,,,8100000.0
11771,Ready to Move,,5,N,Om Sai Ganesh Developer,,,2700000.0
11770,Ready to Move,,4,N,REMMA Consulting Services Pvt. Ltd.,KDMC,0.0,1700000.0
11769,Ready to Move,,7,N,Sanghvi Builders,,,2800000.0
11768,Ready to Move,,2,N,Yogam Realty,KDMC,0.0,5000000.0
11767,Ready to Move,,9,N,Marathon Realty Pvt. Ltd.,,,4000000.0
11766,Ready to Move,,12,N,Lodha,,,5800000.0
11765,Ready to Move,,7,N,Lodha,,,2700000.0
11764,Ready to Move,,Ground,N,,,,4200000.0
11763,Ready to Move,,6,N,Gupta Builders And Developers,,,4200000.0
11762,Under Construction,Dec '23,3,N,Advance Home Makers Private Limited ,,,3200000.0
11761,Ready to Move,,4,Y,RR Enterprise,,,3300000.0
11760,Ready to Move,,4,Y,,ABAMNC,0.0,3550000.0
11759,Ready to Move,,3,Y,,ABAMNC,1.0,1645000.0
11758,Ready to Move,,9,Y,Lodha,KDMC,0.0,6400000.0
11757,Ready to Move,,6,Y,Lodha,,1.0,3300000.0
11756,Ready to Move,,18,Y,Lodha,,1.0,7600000.0
11755,Ready to Move,,7,N,,ABAMNC,,4400000.0
11754,Ready to Move,,2,N,,ABAMNC,,6700000.0
11753,Ready to Move,,11,Y,Lodha,,,4280000.0
11752,Ready to Move,,3,N,,ABAMNC,1.0,4000000.0
11751,Ready to Move,,1,Y,,,,3600000.0
11750,Ready to Move,,1,Y,,ABAMNC,0.0,4000000.0
11749,Ready to Move,,1,Y,,,,6600000.0
11748,Ready to Move,,18,N,Lodha,KDMC,1.0,6900000.0
11747,Ready to Move,,1,Y,,ABAMNC,0.0,2150000.0
11746,Ready to Move,,8,N,,ABAMNC,0.0,5800000.0
11745,Ready to Move,,1,Y,,ABAMNC,0.0,3500000.0
11744,Ready to Move,,2,Y,,ABAMNC,0.0,4300000.0
11743,Ready to Move,,2,Y,,ABAMNC,1.0,6400000.0
11742,Ready to Move,,1,Y,,ABAMNC,,9000000.0
11741,Ready to Move,,3,Y,,ABAMNC,1.0,5600000.0
11740,Ready to Move,,1,Y,,ABAMNC,0.0,2900000.0
11739,Ready to Move,,4,Y,,ABAMNC,,3600000.0
11738,Ready to Move,,2,Y,,ABAMNC,,5500000.0
11737,Under Construction,Dec '24,8,Y,Lodha,TMC,,3900000.0
11736,Ready to Move,,8,Y,VADOR GROUP,,0.0,4760000.0
11735,Under Construction,Dec '25,11,Y,Lodha,TMC,,3499000.0
11734,Under Construction,Dec '25,8,Y,Paradise Group,KDMC,12.0,7600000.0
11733,Under Construction,Dec '24,2,N,Runwal Developers,KDMC,3.0,5100000.0
11732,Ready to Move,,4,N,,,,3500000.0
11731,Ready to Move,,4,N,,,,3500000.0
11730,Ready to Move,,3,N,,,,3500000.0
11729,Ready to Move,,1,N,,,,2700000.0
11728,Ready to Move,,6,N,Shree Chamunda Enterprises,,,4500000.0
11727,Ready to Move,,7,N,,,,3800000.0
11726,Ready to Move,,5,N,Lodha,,,2500000.0
11725,Ready to Move,,3,N,,,,5500000.0
11724,Ready to Move,,3,N,,,,2700000.0
11723,Ready to Move,,2,N,,,,3400000.0
11722,Ready to Move,,1,N,,,,4000000.0
11721,Ready to Move,,3,N,,,,4300000.0
11720,Ready to Move,,Ground,N,,,,5100000.0
11719,Ready to Move,,1,N,,,,10500000.0
11718,Ready to Move,,3,N,,,,3200000.0
11717,Ready to Move,,6,N,,,,4500000.0
11716,Ready to Move,,3,N,,,,9500000.0
11715,Ready to Move,,Ground,N,,,,3200000.0
11714,Ready to Move,,4,N,,,,3000000.0
11713,Ready to Move,,,N,,,,1900000.0
11712,Ready to Move,,Ground,N,,TMC,0.0,1300000.0
11711,Ready to Move,,7,N,Shivam Buildcon,,,3500000.0
11710,Ready to Move,,6,N,Shree Chamunda Enterprises,,,6100000.0
11709,Ready to Move,,3,N,,,,4950000.0
11708,Ready to Move,,2,N,Sai Developers,,,3600000.0
11707,Ready to Move,,2,N,,,,1850000.0
11706,Ready to Move,,3,N,,,,2990000.0
11705,Ready to Move,,1,N,The Runwal Group,,,5600000.0
11704,Ready to Move,,2,N,,,,5000000.0
11703,Ready to Move,,3,N,,,,1500000.0
11702,Ready to Move,,,N,,,,5500000.0
11701,Ready to Move,,6,N,Anmol Associate,KDMC,1.0,3000000.0
11700,Ready to Move,,6,N,Siddharth Group,,,4000000.0
11699,Ready to Move,,2,N,,,,2300000.0
11698,Ready to Move,,Ground,N,RR Enterprise,,,4000000.0
11697,Ready to Move,,3,N,,,,7000000.0
11696,Ready to Move,Apr '21,2,N,,,,3100000.0
11695,Ready to Move,,1,N,Sanghvi Builders,,,3500000.0
11694,Ready to Move,,Ground,N,,,,3200000.0
11693,Ready to Move,,7,N,Lodha,,,9000000.0
11692,Ready to Move,,4,N,,,,1500000.0
11691,Ready to Move,,6,N,,,,3800000.0
11690,Ready to Move,,1,N,,,,2900000.0
11689,Ready to Move,,3,N,,,,2950000.0
11688,Ready to Move,,4,N,,,,3000000.0
11687,Ready to Move,,4,N,,,,3500000.0
11686,Ready to Move,,2,N,Lodha,,,6000000.0
11685,Ready to Move,,5,N,,,,2600000.0
11684,Ready to Move,,6,N,,,,5700000.0
11683,Ready to Move,,3,N,,,,4500000.0
11682,Ready to Move,,1,N,,,,6700000.0
11681,Ready to Move,,3,N,,,,2800000.0
11680,Ready to Move,,4,N,,,,3500000.0
11679,Ready to Move,,5,N,,,,3100000.0
11678,Ready to Move,,7,N,,,,4500000.0
11677,Ready to Move,,2,N,,,,2050000.0
11676,Ready to Move,,Ground,N,,,,2500000.0
11675,Ready to Move,,4,N,,,,5500000.0
11674,Ready to Move,,3,N,,,,3500000.0
11673,Ready to Move,,2,N,,,,3900000.0
11672,Ready to Move,,2,N,RR Enterprise,,,5000000.0
11671,Ready to Move,,3,N,,KDMC,1.0,2400000.0
11670,Ready to Move,,1,N,,,,3500000.0
11669,Ready to Move,,2,N,,,,4300000.0
11668,Ready to Move,,4,N,,,,2200000.0
11667,Ready to Move,,12,N,Lodha,,,9000000.0
11666,Ready to Move,,1,N,,,,7500000.0
11665,Ready to Move,,Ground,N,,,,5500000.0
11664,Ready to Move,,2,N,,,,2800000.0
11663,Ready to Move,,1,N,,,,1650000.0
11662,Ready to Move,,2,N,,,,5000000.0
11661,Ready to Move,,Ground,N,Shree Chamunda Enterprises,,,3700000.0
11660,Ready to Move,,7,N,,,,3500000.0
11659,Ready to Move,,18,N,,,,7000000.0
11658,Ready to Move,,5,N,Lodha,,,5200000.0
11657,Ready to Move,,16,N,Lodha,,,7200000.0
11656,Ready to Move,,Ground,N,,,,2500000.0
11655,Ready to Move,,4,N,,,,4600000.0
11654,Ready to Move,,7,N,,KDMC,,2800000.0
11653,Ready to Move,,4,N,,,,3200000.0
11652,Ready to Move,,4,N,,,,3500000.0
11651,Ready to Move,,4,N,Vinayak Construction,,,5500000.0
11650,Ready to Move,,4,N,,,,4800000.0
11649,Ready to Move,,3,N,,,,4000000.0
11648,Ready to Move,,5,N,,,,1700000.0
11647,Ready to Move,,7,N,,,,2800000.0
11646,Ready to Move,,4,N,Lodha,KDMC,0.0,3300000.0
11645,Ready to Move,,2,N,Marathon Realty Pvt. Ltd.,TMC,1.0,4160000.0
11644,Ready to Move,,Ground,N,,,,1150000.0
11643,Ready to Move,,5,N,,,,2800000.0
11642,Ready to Move,,3,N,,,,3800000.0
11641,Ready to Move,,1,N,,,,3500000.0
11640,Ready to Move,,Ground,N,,,,4000000.0
11639,Ready to Move,,7,N,,,,9000000.0
11638,Ready to Move,,3,N,,,,7000000.0
11637,Ready to Move,,5,N,,,1.0,2599000.0
11636,Ready to Move,,2,N,Umbrella Group,,,3000000.0
11635,Ready to Move,,8,N,,,,4700000.0
11634,Ready to Move,,2,N,,,,3800000.0
11633,Ready to Move,,3,N,,ABADev,,3500000.0
11632,Ready to Move,,2,N,,,,5100000.0
11631,Ready to Move,,4,N,Lodha,,,3500000.0
11630,Ready to Move,,4,N,,,,4500000.0
11629,Ready to Move,,Ground,N,,,,3600000.0
11628,Ready to Move,,2,N,,,,5500000.0
11627,Ready to Move,,2,N,,,,3500000.0
11626,Ready to Move,,1,N,,,,7200000.0
11625,Ready to Move,,Ground,N,,,,3500000.0
11624,Ready to Move,,4,N,Amara Construction,,,5400000.0
11623,Ready to Move,,4,N,,,,4000000.0
11622,Ready to Move,,3,N,,,,2000000.0
11621,Ready to Move,,1,N,,,,2700000.0
11620,Ready to Move,,2,N,,,,3200000.0
11619,Ready to Move,,11,N,,,,6800000.0
11618,Ready to Move,,2,N,,,,7500000.0
11617,Ready to Move,,1,N,,,,2700000.0
11616,Ready to Move,,2,N,,ABAMNC,,4200000.0
11615,Ready to Move,,5,N,,,,4500000.0
11614,Ready to Move,,3,N,,,,4000000.0
11613,Ready to Move,,3,N,Sanghvi S3 Group,,,3600000.0
11612,Ready to Move,,4,N,MD Group,,,2700000.0
11611,Ready to Move,,1,N,,,,5600000.0
11610,Ready to Move,,1,N,,,,4100000.0
11609,Ready to Move,,1,N,,,,3800000.0
11608,Under Construction,Mar '24,10,N,Lodha,KDMC,10.0,4399999.0
11607,Under Construction,Sep '25,12,N,Paradise Group,KDMC,234.0,5199440.0
11606,Ready to Move,,4,N,,KDMC,0.0,3500000.0
11605,Ready to Move,,1,N,,,,2600000.0
11604,Ready to Move,,5,N,,,,13500000.0
11603,Ready to Move,,7,N,,,,6500000.0
11602,Ready to Move,,6,N,,,,4400000.0
11601,Ready to Move,,3,N,,,,3000000.0
11600,Ready to Move,,3,N,,,,8000000.0
11599,Ready to Move,,7,N,Runwal Developers,,,12000000.0
11598,Ready to Move,,4,N,,ABARWA,,7500000.0
11597,Ready to Move,,3,N,Shree Chamunda Enterprises,,,4500000.0
11596,Ready to Move,,Ground,N,,KDMC,1.0,3200000.0
11595,Ready to Move,,3,N,,ABAMNC,,2500000.0
11594,Ready to Move,,2,N,,ABAMNC,,2500000.0
11593,Ready to Move,,Ground,N,Om Realty,,,3500000.0
11592,Ready to Move,,Ground,N,,ABAMNC,0.0,3700000.0
11591,Ready to Move,,4,N,,,,12500000.0
11590,Ready to Move,,1,N,,ABAMNC,0.0,6950000.0
11589,Ready to Move,,2,N,,,,8000000.0
11588,Ready to Move,,Ground,N,,KDMC,,3500000.0
11587,Ready to Move,,1,N,,,,2500000.0
11586,Ready to Move,,6,N,,,,3500000.0
11585,Ready to Move,,4,N,,ABARWA,,5700000.0
11584,Ready to Move,,1,N,,,1.0,5000000.0
11583,Ready to Move,,4,N,,,,3650000.0
11582,Ready to Move,,5,N,,,,7500000.0
11581,Ready to Move,,3,N,,,,3300000.0
11580,Ready to Move,,4,N,,ABAMNC,0.0,4800000.0
11579,Ready to Move,,3,N,,,,4400000.0
11578,Ready to Move,,2,N,,,,6200000.0
11577,Ready to Move,,5,N,,,,4800000.0
11576,Ready to Move,,7,N,Happy Home Group Builders,,,4300000.0
11575,Ready to Move,,1,N,,,,8500000.0
11574,Ready to Move,,14,N,Lodha,,,7800000.0
11573,Ready to Move,,2,N,,ABAMNC,,2500000.0
11572,Ready to Move,,Ground,N,,ABAMNC,,4200000.0
11571,Ready to Move,,1,N,,,,2500000.0
11570,Ready to Move,,2,N,Sanghvi Builders,ABAMNC,,3800000.0
11569,Ready to Move,,3,N,,,,11000000.0
11568,Ready to Move,,Ground,N,,,,3500000.0
11567,Ready to Move,,7,N,,,1.0,7500000.0
11566,Ready to Move,,3,N,,,,1800000.0
11565,Ready to Move,,2,N,,KDMC,,3900000.0
11564,Ready to Move,,2,N,,,,4000000.0
11563,Ready to Move,,6,N,,,,6500000.0
11562,Ready to Move,,1,N,,ABARWA,,2700000.0
11561,Ready to Move,,1,N,,ABARWA,,1550000.0
11560,Ready to Move,,4,N,,,,7800000.0
11559,Ready to Move,,15,N,Runwal Developers,,,8500000.0
11558,Ready to Move,,13,N,Lodha,KDMC,1.0,5000005.0
11557,Ready to Move,,15,N,Lodha,,,6400000.0
11556,Ready to Move,,2,N,BAJRANG INFRA,,,4400000.0
11555,Ready to Move,,7,N,Lodha,KDMC,0.0,2700000.0
11554,Jun '24,Jun '24,8,Y,Lodha,,,5149000.0
11553,Ready to Move,,6,N,Lodha,,,4200000.0
11552,Ready to Move,,5,N,Lodha,KDMC,1.0,6000000.0
11551,Ready to Move,,10,N,Lodha,KDMC,1.0,6000000.0
11550,Ready to Move,,1,N,Rashi Developers,KDMC,0.0,7400000.0
11549,Ready to Move,,10,N,Marathon Realty Pvt. Ltd.,,,6500000.0
11548,Ready to Move,,6,N,Suman Developers,,,3500000.0
11547,Ready to Move,,1,N,Lodha,TMC,2.0,4800000.0
11546,Ready to Move,,10,N,Palava Downtown,KDMC,0.0,9000000.0
11545,Ready to Move,,1,N,Krishna Enterprises,ABAMNC,1.0,4000000.0
11544,Under Construction,Jun '25,10,N,,,,7500000.0
11543,Ready to Move,,1,N,Lodha,,,4200000.0
11542,Ready to Move,,17,N,Marathon Realty Pvt. Ltd.,,,8000000.0
11541,Ready to Move,,4,N,Lodha,,,5500000.0
11540,Ready to Move,,7,N,Lodha,KDMC,0.0,4500000.0
11539,Under Construction,,,Y,Runwal Developers,,,3400000.0
11538,Ready to Move,,3,N,Regency Group,,1.0,12500000.0
11537,Ready to Move,,5,N,Shree Chamunda Enterprises,,,4500000.0
11536,Ready to Move,,4,N,Runwal Developers,KDMC,1.0,12000000.0
11535,Ready to Move,,10,N,Siddharth Group,TMC,1.0,4500000.0
11534,Ready to Move,,1,N,Siddharth Group,,1.0,5500000.0
11533,Under Construction,Dec '23,10,N,Rashi Developers,,,7500000.0
11532,Ready to Move,,10,N,Lodha,,1.0,3400000.0
11531,Ready to Move,,1,N,Om Sai Ganesh Developer,,,2200000.0
11530,Ready to Move,,8,N,Neel Siddhi developers,,,10000000.0
11529,Ready to Move,,3,N,,,,7000000.0
11528,Ready to Move,,4,N,Siddharth Group,,,4000000.0
11527,Ready to Move,,7,N,Sanghvi S3 Group,,,3700000.0
11526,Ready to Move,,8,N,Lodha,,,4500000.0
11525,Ready to Move,,1,N,,,,3600000.0
11524,Ready to Move,,1,N,Regency Group,KDMC,,6500000.0
11523,Ready to Move,,1,N,Kulswamini Developers,,,4150000.0
11522,Ready to Move,Dec '20,9,N,Marathon Realty Pvt. Ltd.,,,4700000.0
11521,Ready to Move,,3,N,Sanghvi Builders,,,5000000.0
11520,Ready to Move,,13,N,Regency Group,,,8500000.0
11519,Under Construction,Apr '23,,Y,Runwal Developers,,,3750000.0
11518,Ready to Move,,1,N,Lodha,,,4800000.0
11517,Ready to Move,Dec '22,17,N,Runwal Developers,KDMC,1.0,5500000.0
11516,Under Construction,Dec '23,10,Y,Mahaavir Universal Homes Pvt. Ltd.,KDMC,2.0,6850000.0
11515,Ready to Move,,18,N,The Runwal Group,,,4000000.0
11514,Ready to Move,,1,N,Lodha,,,6000000.0
11513,Ready to Move,,7,N,,KDMC,0.0,3800000.0
11512,Ready to Move,,9,N,Runwal Developers,TMC,0.0,4550000.0
11511,Ready to Move,,4,N,Shree Krishna Developers,,1.0,4000000.0
11510,Ready to Move,,7,N,,,1.0,6500000.0
11509,Ready to Move,,6,N,Siddharth Group,,,3500000.0
11508,Ready to Move,,2,N,,,,9300000.0
11507,Ready to Move,,4,N,Sanghvi Group,KDMC,1.0,3260000.0
11506,Ready to Move,,9,N,The Runwal Group,,1.0,4500000.0
11505,Ready to Move,,4,N,Siddharth Group,,,3000000.0
11504,Ready to Move,,6,N,Runwal Developers,TMC,1.0,7600000.0
11503,Ready to Move,,3,N,,,,3300000.0
11502,Ready to Move,,10,N,Runwal Developers,,1.0,5500000.0
11501,Ready to Move,,7,N,Shivam Buildcon,KDMC,,3500000.0
11500,Ready to Move,,5,N,,,,3400000.0
11499,Ready to Move,,6,N,Lodha,,,3700000.0
11498,Ready to Move,,14,N,,ABAMNC,0.0,5300000.0
11497,Ready to Move,,1,N,,,,9600000.0
11496,Ready to Move,,Ground,N,,,,2500000.0
11495,Ready to Move,,7,N,EKVEERA GROUPS,,,7200000.0
11494,Ready to Move,,3,N,,KDMC,1.0,3150000.0
11493,Ready to Move,,10,N,Versatile Housing,,,7200000.0
11492,Ready to Move,,9,N,,,,5200000.0
11491,Ready to Move,,4,N,Lodha,,0.0,2800000.0
11490,Ready to Move,,2,N,,KDMC,0.0,4000000.0
11489,Ready to Move,,8,N,,,,7200000.0
11488,Ready to Move,,3,N,,,,3250000.0
11487,Ready to Move,Dec '22,1,N,Runwal Developers,,,4000000.0
11486,Ready to Move,,1,N,,,0.0,5850000.0
11485,Ready to Move,,21,N,Runwal Developers,,,6500000.0
11484,Ready to Move,,6,N,,,,4700000.0
11483,Ready to Move,,5,N,,,,3200000.0
11482,Under Construction,May '24,4,N,,KDMC,1.0,4899999.0
11481,Ready to Move,,7,N,Shree Chamunda Enterprises,,,4300000.0
11480,Ready to Move,,2,N,Lodha,,,4250000.0
11479,Ready to Move,,4,N,Lodha,,,2950000.0
11478,Ready to Move,,5,N,Lodha,,,4000000.0
11477,Ready to Move,,4,N,Lodha,,,3200000.0
11476,Ready to Move,,3,N,,,1.0,3400000.0
11475,Ready to Move,,5,N,,,,2500000.0
11474,Ready to Move,,3,N,,,,6500000.0
11473,Ready to Move,Jul '22,3,N,,KDMC,0.0,3950000.0
11472,Ready to Move,,5,N,,,,3200000.0
11471,Ready to Move,,9,N,,KDMC,,6000000.0
11470,Ready to Move,,6,N,Shree Chamunda Enterprises,,,4300000.0
11469,Ready to Move,,10,N,,,,9000000.0
11468,Ready to Move,,1,N,,,,4400000.0
11467,Ready to Move,,1,N,,,,3500000.0
11466,Ready to Move,,4,N,,KDMC,1.0,4500000.0
11465,Ready to Move,,6,N,,,,2900000.0
11464,Ready to Move,,5,N,Lodha,,,2650000.0
11463,Ready to Move,,2,N,,,,26100000.0
11462,Ready to Move,,4,N,,,,2500000.0
11461,Ready to Move,,8,N,,KDMC,1.0,4500000.0
11460,Ready to Move,,Ground,N,,,,2850000.0
11459,Ready to Move,,5,N,,,,8500000.0
11458,Ready to Move,,4,N,,,,4200000.0
11457,Ready to Move,,15,N,Lodha,,,7400000.0
11456,Ready to Move,,3,N,,ABADev,1.0,2100000.0
11455,Ready to Move,,2,N,Lodha,,1.0,3400000.0
11454,Ready to Move,,4,N,,,,4900000.0
11453,Ready to Move,,2,N,Lodha,KDMC,0.0,3300000.0
11452,Ready to Move,,3,N,The Runwal Group,TMC,1.0,4500000.0
11451,Ready to Move,,8,N,Shree Krishna Group,,,2700000.0
11450,Ready to Move,,7,N,,,,4500000.0
11449,Ready to Move,,3,N,Anmol Associate,,,5500000.0
11448,Ready to Move,,4,N,,,0.0,3200000.0
11447,Ready to Move,,7,N,,ABADev,0.0,4250000.0
11446,Ready to Move,,1,N,,KDMC,0.0,10500000.0
11445,Ready to Move,,11,N,,,,3800000.0
11444,Ready to Move,,3,N,,KDMC,1.0,3500000.0
11443,Ready to Move,Jan '23,11,N,Lodha,,,4500000.0
11442,Ready to Move,,5,N,Lodha,,,4100000.0
11441,Ready to Move,,2,N,,,1.0,2600000.0
11440,Ready to Move,,5,N,,,,3900000.0
11439,Ready to Move,,2,N,,,,4700000.0
11438,Ready to Move,,11,N,Lodha,,,6800000.0
11437,Ready to Move,,5,N,Reliable Builders and Developers,,,2600000.0
11436,Ready to Move,,6,N,,,,5000000.0
